Nicaragua,6465513,12.865416,-85.207229,0,0
Niger,22442948,17.607789,8.081666,0,0
Nigeria,195874740,9.081999,8.675277,63.34,36.66
Norway,5311916,60.472024,8.468946,53.29,46.71
Oman,4829483,21.512583,55.923255,0,0
Pakistan,212215030,30.375321,69.345116,74,26
Palestine,4569087,31.952162,35.233154,47.99,52.01
Panama,4176873,8.537981,-80.782127,54,46
Papua New Guinea,8606316,-6.314993,143.95555,0,0
Paraguay,6956071,-23.442503,-58.443832,50.27,49.73
Peru,31989256,-9.189967,-75.015152,51.91,48.09
Philippines,106651922,12.879721,121.774017,54.59,45.41
Poland,37974750,51.919438,19.145136,0,0
Portugal,10283822,39.399872,-8.224454,44.97,55.03
Qatar,2781677,25.354826,51.183884,91,9
Romania,19466145,45.943161,24.96676,45.63,54.37
Russian Federation,144478050,61.52401,105.318756,0,0
Rwanda,12301939,-1.940278,29.873888,66.11,33.89
Saint Lucia,181889,13.909444,-60.978893,0,0
Saint Vincent and the Grenadines,110210,12.984305,-61.287228,0,0
Saudi Arabia,33699947,23.885942,45.079162,75,25
Senegal,15854360,14.497401,-14.452362,52,48
Serbia,6963764,44.016521,21.005859,0,0
Seychelles,96762,-4.679574,55.491977,0,0
Sierra Leone,7650154,8.460555,-11.779889,53.57,46.43
Singapore,5638676,1.352083,103.819836,89,11
Slovakia,5446771,48.669026,19.699024,46.92,53.08
Slovenia,2073894,46.151241,14.995463,46.1,53.9
Solomon Islands,652858,-9.64571,160.156194,0,0
Somalia,15008154,5.152149,46.199616,74,26
South Africa,57779622,-30.559482,22.937506,41.84,58.16
South Korea,51606633,35.907757,127.766922,47.52,52.48
South Sudan,10975920,6.877,31.307,75.44,24.56
Spain,46796540,40.463667,-3.74922,46.91,53.09
Sri Lanka,21670000,7.873054,80.771797,0,0
Sudan,41801533,12.862807,30.217636,0,0
Suriname,575991,3.919305,-56.027783,0,0
Swaziland,1136191,-26.522503,31.465866,0,0
Sweden,10175214,60.128161,18.643501,46.32,53.68
Switzerland,8513227,46.818188,8.227512,48.17,51.83
Syria,16906283,34.802075,38.996815,0,0
Tajikistan,9100837,38.861034,71.276093,0,0
Tanzania,56318348,-6.369028,34.888822,0,0
Thailand,69428524,15.870032,100.992541,56.37,43.63
Togo,7889094,8.619543,0.824782,0,0
Trinidad and Tobago,1389858,10.691803,-61.222503,0,0
Tunisia,11565204,33.886917,9.537499,46,54
Turkey,82319724,38.963745,35.243322,51,49
Uganda,42723139,1.373333,32.290275,72.7,27.3
UK,66460344,55.378051,-3.435973,0,0
Ukraine,44622516,48.379433,31.16558,40.08,59.92
United Arab Emirates,9630959,23.424076,53.847818,0,0
Uruguay,3449299,-32.522779,-55.765835,0,0
USA,326687501,37.09024,-95.712891,47.97,52.03
Uzbekistan,32955400,41.377491,64.585262,0,0
Vanuatu,292680,-15.376706,166.959158,0,0
Venezuela,28870195,6.42375,-66.58973,56.1,43.9
Vietnam,95540395,14.058324,108.277199,52.84,47.16
Yemen,28498687,15.552727,48.516388,73,27
Zambia,17351822,-13.133897,27.849332,0,0
Zimbabwe,14439018,-19.015438,29.154857,0,0
